id	type	chain_id	timestamp	block_number	transaction_type	transaction_address	token_addresses	symbols	wallets	wallets_categories	amounts	amount_stable	amount_native	prices_stable	prices_native	pool_address	direction	lp_token_address	wallet_balances	reserves	sender	to	amounts_native	amounts_stable	from_address	lp_token_dict	network	to_address
0xdf5e5987f8b8d8883fc1d39c1fd3707582b945816485cb101d10403a4604f4d9-70	erc20	56	1690665644	30396964	transfer	0xdf5e5987f8b8d8883fc1d39c1fd3707582b945816485cb101d10403a4604f4d9	0x7411f8d62203a9b4d2c7fbf063fabfef8d6290e0	mAVR	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	2.726998299	0.4851032905	None	0.1778891064	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0.4851032905	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x048bea998acd79703032a39b1eeb5584f1405037eed389d162fac4907653f797-163	erc20	56	1690665509	30396919	transfer	0x048bea998acd79703032a39b1eeb5584f1405037eed389d162fac4907653f797	0x7411f8d62203a9b4d2c7fbf063fabfef8d6290e0	mAVR	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	2.753561426	0.5015124868	None	0.182132304	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0.5015124868	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0xaf838c0a17b4942b507ef1517c21a837bf1378b26ff3d1877e18cb82befffae3-160	erc20	56	1690665377	30396875	transfer	0xaf838c0a17b4942b507ef1517c21a837bf1378b26ff3d1877e18cb82befffae3	0x7411f8d62203a9b4d2c7fbf063fabfef8d6290e0	mAVR	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	2.816628533	0.5011378546	None	0.1779211738	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0.5011378546	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0xa4fac99e8beb91e659360c7d5091184873bf46d290adfe0957dfd9654e653693-377	erc20	1	1690663091	17801129	transfer	0xa4fac99e8beb91e659360c7d5091184873bf46d290adfe0957dfd9654e653693	0xee1dd5b83c7247b556ae0ef0e7ae02166aab0dbc	BITCOIN1	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	318424.1419	0.07501505554	None	2.36E-07	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0.07501505554	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	eth	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x11940c044b3b4303c5052d95952981bf6cf73ad0cafd24026701303dcc8ffa20-78	erc20	56	1690662771	30396008	transfer	0x11940c044b3b4303c5052d95952981bf6cf73ad0cafd24026701303dcc8ffa20	0xf3f4ca91bbbe84a89b4c3c17bed4a6dde8c06585	$SHIBGOLD	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	123855843.3	0	None	0	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x88e919046645130c9086f194ecd73e79e5635b607724edef5a8b8828c2e5d03c-100	erc20	56	1690656291	30393848	30393848	0x88e919046645130c9086f194ecd73e79e5635b607724edef5a8b8828c2e5d03c	0x812cf05a293724e211e0a296304602b5e847eab7	LOOT2.0	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	3223873001318	8.99E-06	None	2.79E-18	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	8.99E-06	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	bsc	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x7e6c0d89d3b5bf2a8255bece28cff24e3500205f767a75fb4be8eb87dd3be917-17	erc20	43114	1690648842	33234929	transfer	0x7e6c0d89d3b5bf2a8255bece28cff24e3500205f767a75fb4be8eb87dd3be917	0x50b7545627a5162f82a992c33b87adc75187b218	WBTC.e	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	2.67E-06	0.07821798594	None	29295.12582	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0.07821798594	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	avalanche	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x77f5ca4dc8e8d7369d9ccdc0d02f6b3107b61b2acb41baaedab6869bd8dbe376-220	erc20	137	1690648511	45666743	transfer	0x77f5ca4dc8e8d7369d9ccdc0d02f6b3107b61b2acb41baaedab6869bd8dbe376	0xe87ba1bd11ee6e0d3c7dd6932e6a038e38627f65	aUSDC	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	0.00932509163	0	None	0	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	polygon	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x6349a9d4950ab3d98f6ef21ec2a1c78191a600eee64e143a515be869d04a52f9-281	erc20	137	1690643782	45664574	transfer	0x6349a9d4950ab3d98f6ef21ec2a1c78191a600eee64e143a515be869d04a52f9	0xd1f9c58e33933a993a3891f8acfe05a68e1afc05	SFL	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	0.106699722	0.003572686522	None	0.03348355979	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0.003572686522	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	polygon	0x720c9244473dfc596547c1f7b6261c7112a3dad4
0x848bca36f7d13b7b6aa5f0d193086e2dd9a722d85b11d135f3e48be7b3291e9b-507	erc20	137	1690641101	45663345	transfer	0x848bca36f7d13b7b6aa5f0d193086e2dd9a722d85b11d135f3e48be7b3291e9b	0xb0e98db756be23cfbf65f2cad063596429498e7e	XGCR	0x6131b5fae19ea4f9d964eac0408e4408b66337b5', '0x720c9244473dfc596547c1f7b6261c7112a3dad4	None	8.92E-09	0.00067516249	None	75714.48396	None	None	{'to_address': '0x720c9244473dfc596547c1f7b6261c7112a3dad4', 'from_address': '0x6131b5fae19ea4f9d964eac0408e4408b66337b5'}	None			None	None	None	0.00067516249	0x6131b5fae19ea4f9d964eac0408e4408b66337b5	None	polygon	0x720c9244473dfc596547c1f7b6261c7112a3dad4
